                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | RWT PRACTICES PENN MANOR MEDICAL CENTRE  | M92011        | WV4 5PY  |       71926 |         642719.44 |              8.94 |                  6662.28 |                135303.21 |                   328264.61 |              314454.83
 NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD                     | QUE      | BOROUGHBURY MEDICAL CENTRE               | D81026        | PE1 2EJ  |       87885 |         655255.75 |              7.46 |                 36706.83 |                158954.00 |                   342324.75 |              312931.00
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | THE RIDINGS MEDICAL GROUP                | B81061        | HU15 2JG |      108130 |         765736.35 |              7.08 |                  3215.96 |                183626.96 |                   454243.46 |              311492.89
 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD                        | QE1      | LANCASTER MEDICAL PRACTICE               | P81002        | LA1 1PN  |       82939 |         672472.60 |              8.11 |                  8686.99 |                155374.33 |                   375405.34 |              297067.26
 NHS NORTH WEST LONDON INTEGRATED CARE BOARD                                   | QRV      | ADHD ASSESSMENT AND TREATMENT SERVICE    | Y08511        | HA6 1BX  |       13458 |         481382.17 |             35.77 |                 24884.31 |                 88730.69 |                   184500.26 |              296881.91
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | GPS HEALTHCARE                           | M89003        | B90 4DD  |       54667 |         559380.14 |             10.23 |                 17277.35 |                118734.33 |                   270919.81 |              288460.33
 NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD                      | QOC      | TELDOC                                   | Y01929        | TF3 2BF  |       63493 |         678237.08 |             10.68 |                 31795.06 |                181149.45 |                   405181.04 |              273056.04
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | MODALITY BIRMINGHAM                      | M85178        | B19 1BP  |       55120 |         537114.02 |              9.74 |                 17277.35 |                118734.33 |                   270919.81 |              266194.21
 NHS DORSET INTEGRATED CARE BOARD                                              | QVV      | THE ADAM PRACTICE                        | J81006        | BH15 4JQ |       65263 |         605819.88 |              9.28 |                 74435.18 |                180748.01 |                   340217.26 |              265602.62
 NHS SOUTH EAST LONDON INTEGRATED CARE BOARD                                   | QKK      | THE LEWISHAM CARE PARTNERSHIP            | G85038        | SE13 7SX |       44254 |         522272.72 |             11.80 |                  3015.33 |                106969.99 |                   262901.98 |              259370.74
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | THE WILLOW GROUP                         | J82083        | PO12 3JP |       96640 |         802900.17 |              8.31 |                 15781.71 |                231127.75 |                   554146.82 |              248753.35
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | HOLDERNESS HEALTH                        | B81025        | HU19 2PZ |      101115 |         700881.30 |              6.93 |                  3215.96 |                183626.96 |                   454243.46 |              246637.84
 NHS DEVON INTEGRATED CARE BOARD                                               | QJK      | MAYFLOWER MEDICAL GROUP                  | L83006        | PL5 1PL  |       75137 |         696785.64 |              9.27 |                  2050.97 |                182892.08 |                   454153.75 |              242631.89
 NHS KENT AND MEDWAY INTEGRATED CARE BOARD                                     | QKS      | WHITSTABLE MEDICAL PRACTICE              | G82071        | CT5 3SE  |       70297 |         653827.00 |              9.30 |                  1261.74 |                167201.17 |                   416110.31 |              237716.69
 NHS DEVON INTEGRATED CARE BOARD                                               | QJK      | BEACON MEDICAL GROUP                     | L83100        | PL7 1AD  |       68133 |         686420.84 |             10.07 |                  2050.97 |                182892.08 |                   454153.75 |              232267.09
 NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD                        | QM7      | STANMORE MEDICAL GROUP                   | E82005        | SG1 3QA  |       73851 |         631312.54 |              8.55 |                  8992.26 |                165430.27 |                   400087.29 |              231225.25
 NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD                                    | QPM      | LAKESIDE HEALTHCARE                      | K83002        | NN17 1TR |       82047 |         629180.38 |              7.67 |                 72523.56 |                205092.01 |                   403944.69 |              225235.69
